,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber,AverageMotorVehiclesPerHex,IniCostHardwareCost,IniCostInstallationCost,IniGridReinforcementCost,DailyDemandPerStation,DailyElectricityCost,DailyEstimatedRevenue,MonthlyEstimatedRevenue,MonthlyElectricityCost,MonthlyMaintenanceCost
0,85195873fffffff,5,0.0,0.0,0.0,"[51.558859946521146, -2.8600230881492497]",1,447.89466034767077,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
1,85195863fffffff,5,385.71726741622575,0.0,0.0,"[51.42181128607945, -2.9364775926353555]",1,447.89466034767077,1000,400,0,0.4041852086267833,0.7045433208615185,10.508815424296365,315.264462728891,21.136299625845556,300
2,8519583bfffffff,5,534.4757677469136,196.0,87.0,"[51.4531637658472, -2.4761836173692644]",0,447.89466034767077,1000,400,0,0.5600661882207946,0.9762625740114315,14.56172089374066,436.85162681221976,29.287877220342942,300
3,8519582bfffffff,5,0.0,6.0,3.0,"[51.316403456140335, -2.55317914771832]",0,447.89466034767077,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
4,85195877fffffff,5,556.4313139707023,174.0,96.0,"[51.437727860916176, -2.706188914467578]",0,447.89466034767077,1000,400,0,0.5830729545250913,1.0163661284917773,15.159896817652374,454.79690452957124,30.49098385475332,300
5,85195867fffffff,5,314.9542922568416,5.0,3.0,"[51.30067145635411, -2.7827571985461024]",0,447.89466034767077,1000,400,0,0.33003413919336855,0.5752891087107446,8.580887619027582,257.42662857082746,17.258673261322336,300
6,861958397ffffff,6,562.6597849048409,161.0,78.0,"[51.46618407082056, -2.5636851757650905]",0,390.62818410688317,1000,400,0,0.6760355290967281,1.1784110514790889,17.576923756514933,527.307712695448,35.35233154437267,300
7,8619582afffffff,6,0.0,4.0,2.0,"[51.30350154134778, -2.46583766564634]",0,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
8,86195872fffffff,6,0.0,0.0,0.0,"[51.54611866576377, -2.7720386341084904]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
9,861958767ffffff,6,462.9344888391952,31.0,19.0,"[51.479100060403745, -2.6513233051747807]",0,390.62818410688317,1000,400,0,0.5562156217588177,0.9695505746002303,14.46160616572926,433.8481849718778,29.08651723800691,300
10,86195874fffffff,6,13.75,14.0,8.0,"[51.38356836780778, -2.673312612879927]",0,390.62818410688317,1000,400,0,0.016520620052225876,0.028797423225435968,0.4295361213578728,12.886083640736183,0.863922696763079,300
11,861958747ffffff,6,242.7567013888889,0.0,0.0,"[51.43777436893922, -2.706151296262952]",1,390.62818410688317,1000,400,0,0.2916720893656354,0.5084194524150264,7.58347432350652,227.5042297051956,15.252583572450792,300
12,8619586e7ffffff,6,340.73981599130036,0.0,0.0,"[51.32611369742683, -2.9579851765294976]",3,390.62818410688317,1000,400,500000,0.4093987663023732,0.7136311775169928,10.644367923861703,319.3310377158511,21.408935325509784,300
13,8619583a7ffffff,6,0.0,0.0,0.0,"[51.49438253559075, -2.4212367542111237]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
14,8619580cfffffff,6,290.765205026455,40.0,19.0,"[51.52036693290412, -2.5964401158340324]",0,390.62818410688317,1000,400,0,0.3493542892108815,0.6089664486092718,9.08321151948292,272.4963455844876,18.268993458278157,300
15,861958607ffffff,6,0.0,0.0,0.0,"[51.42185799156073, -2.9364402199976145]",2,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
16,861958707ffffff,6,0.0,0.0,0.0,"[51.55890679421836, -2.8599854624038663]",2,390.62818410688317,1000,400,500000,0.0,0.0,0.0,0.0,0.0,300
17,86195870fffffff,6,0.0,0.0,0.0,"[51.5047572380017, -2.8268947223686927]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
18,861958287ffffff,6,0.0,0.0,0.0,"[51.31644962461468, -2.553141540155467]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
19,861958657ffffff,6,515.8231977513227,0.0,0.0,"[51.31344493080502, -2.8703039118905216]",2,390.62818410688317,1000,400,500000,0.6197613864853654,1.0803184680103701,16.1137960486195,483.41388145858497,32.40955404031111,300
20,8619582b7ffffff,6,0.0,2.0,1.0,"[51.37068874397616, -2.5857992249278943]",0,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
21,8619582a7ffffff,6,0.0,0.0,0.0,"[51.357751236587866, -2.4983841512743754]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
22,861958667ffffff,6,52.41051136363637,5.0,3.0,"[51.3421724227594, -2.728043758070657]",0,390.62818410688317,1000,400,0,0.06297121054410931,0.10976637652364783,1.6372514741468422,49.117544224405265,3.292991295709435,300
23,86195805fffffff,6,0.0,5.0,2.0,"[51.54856449382543, -2.453837660018004]",0,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
24,86195838fffffff,6,0.0,0.0,0.0,"[51.39899413551123, -2.4435720630204663]",1,390.62818410688317,1000,400,0,0.0,0.0,0.0,0.0,0.0,300
25,861958677ffffff,6,300.0681607744108,0.0,0.0,"[51.35494674872002, -2.815641615995624]",1,390.62818410688317,1000,400,0,0.36053178719449225,0.6284501688944634,9.373826467056798,281.21479401170393,18.8535050668339,300
