,HexId,HexLevel,AverageMotorVehicles,AreaConnectorCount,AreaStationCount,CentroidCoor,KNumber
0,8519582bfffffff,5,0.0,6.0,3.0,"[51.316403456140335, -2.55317914771832]",0
1,85195877fffffff,5,130761.35878311504,174.0,96.0,"[51.437727860916176, -2.706188914467578]",0
2,85195863fffffff,5,18514.428835978837,0.0,0.0,"[51.42181128607945, -2.9364775926353555]",1
3,85195867fffffff,5,11968.263105759981,5.0,3.0,"[51.30067145635411, -2.7827571985461024]",0
4,8519583bfffffff,5,96205.63819444444,196.0,87.0,"[51.4531637658472, -2.4761836173692644]",0
5,85195873fffffff,5,0.0,0.0,0.0,"[51.558859946521146, -2.8600230881492497]",1
6,8619582b7ffffff,6,0.0,2.0,1.0,"[51.37068874397616, -2.5857992249278943]",0
7,861958387ffffff,6,1341.888888888889,16.0,7.0,"[51.453210074502444, -2.476145758223588]",0
8,86195805fffffff,6,0.0,5.0,2.0,"[51.54856449382543, -2.453837660018004]",0
9,861958627ffffff,6,562.3472222222222,0.0,0.0,"[51.46333699479075, -2.881695256251931]",1
10,86195839fffffff,6,19870.548115079364,18.0,8.0,"[51.41197879257606, -2.5309999212251326]",0
11,86195872fffffff,6,0.0,0.0,0.0,"[51.54611866576377, -2.7720386341084904]",1
12,8619580dfffffff,6,1304.7222222222222,0.0,0.0,"[51.533271980219524, -2.6841901027061024]",1
13,86195875fffffff,6,3182.5794702982203,0.0,0.0,"[51.3963899133073, -2.760924072067572]",1
14,8619583b7ffffff,6,3426.8002314814817,49.0,20.0,"[51.50740371940867, -2.5087889187252017]",0
15,8619582afffffff,6,0.0,4.0,2.0,"[51.30350154134778, -2.46583766564634]",0
16,861958677ffffff,6,3000.6816077441076,0.0,0.0,"[51.35494674872002, -2.815641615995624]",1
17,861958777ffffff,6,23050.90625,6.0,2.0,"[51.49195784784374, -2.7390599027439264]",0
18,86195874fffffff,6,13.75,14.0,8.0,"[51.38356836780778, -2.673312612879927]",0
19,861958767ffffff,6,38423.5625736532,31.0,19.0,"[51.479100060403745, -2.6513233051747807]",0
