ind,Latitude,Longitude
246,51.477768428,-2.721352998
288,51.468991993,-2.567746873
896,51.478591073,-2.609711276
1735,51.436432543,-2.60561056
2386,51.477907506,-2.701397567
2399,51.477907506,-2.701397567
2499,51.49357992,-2.667514224
3292,51.490247588,-2.666889407
3658,51.445329255,-2.623714702
3722,51.313263569,-2.885205029
3881,51.459357799,-2.588641815
4156,51.462901536,-2.555263093
4305,51.436273539,-2.567312213
4348,51.480905739,-2.546971238
4404,51.463607049,-2.571235546
4530,51.476487248,-2.724975729
4535,51.476487248,-2.724975729
4641,51.436678525,-2.555980764
5708,51.478283311,-2.701705724
6407,51.435447872,-2.615121081
6443,51.462901536,-2.555263093
6728,51.48057562,-2.54642008
6769,51.480849079,-2.702681137
6872,51.463558031,-2.575740518
6873,51.463558031,-2.575740518
7047,51.445329255,-2.623714702
7626,51.456156937,-2.581404367
7754,51.482101062,-2.712752116
7846,51.313263569,-2.885205029
7855,51.313263569,-2.885205029
8132,51.354374105,-2.936174099
9076,51.481564731,-2.538641241
9677,51.482101062,-2.712752116
9709,51.313263569,-2.885205029
10007,51.471716835,-2.558307222
10364,51.450988007,-2.606004676
10505,51.474419198,-2.547743117
11325,51.488191989,-2.648640059
11456,51.457284489,-2.558476475
11579,51.42689289,-2.545074466
11608,51.437768598,-2.613238828
11976,51.481202107,-2.644364727
12522,51.343693349,-2.970213474
13134,51.456237081,-2.749424503
13480,51.490399351,-2.654317504
13672,51.456034504,-2.605582182
13881,51.448810058,-2.72219153
14435,51.462914481,-2.578611344
14719,51.339952149,-2.956065218
14731,51.339952149,-2.956065218
14811,51.457284489,-2.558476475
14985,51.488881389,-2.634391022
15169,51.490675887,-2.545835109
15182,51.490675887,-2.545835109
15184,51.490675887,-2.545835109
15524,51.492935214,-2.681116726
15630,51.47263269,-2.558577565
15697,51.421180654,-2.616338846
15995,51.463558031,-2.575740518
16019,51.503366475,-2.696256036
16249,51.375200854,-2.863411747
16359,51.35153972,-2.900876989
16523,51.463146438,-2.513377526
16621,51.446860674,-2.606036353
16857,51.48929708,-2.571023771
16896,51.391674844,-2.860847408
16906,51.391674844,-2.860847408
17012,51.339952149,-2.956065218
17247,51.335553138,-2.910037777
17366,51.516872287,-2.693147326
17843,51.499840541,-2.684245026
17878,51.344011851,-2.976250414
18082,51.457866653,-2.562715137
18156,51.46893073,-2.739929189
18164,51.46893073,-2.739929189
18285,51.339952149,-2.956065218
18461,51.436678525,-2.555980764
18555,51.481564731,-2.538641241
