hex9,mean_car,total_charger,min_k,min_k_hex,total_number_of_cell,charger_count,lat,lon,cars_density
89195839063ffff,951.8177083333334,0.0,1,8919583907bffff,1.0,4.0,51.46029845959069,-2.571516729330979,12048.420751338812
89195876893ffff,1085.4930555555557,0.0,3,89195876c73ffff,1.0,2.0,51.43360567126473,-2.6091198621292437,13740.527142419538
89195839483ffff,2587.8981481481483,0.0,6,8919583942fffff,1.0,6.0,51.49160562952198,-2.5448310865489114,32758.463598136736
89195876c4bffff,1935.5527777777777,0.0,1,89195876c5bffff,2.0,8.0,51.44598350537325,-2.624745772998788,24500.86192861869
89195877197ffff,3888.483333333333,0.0,21,8919587652fffff,1.0,2.0,51.48087736036609,-2.7045746363936654,49221.69746831524
8919586504fffff,2523.402777777778,0.0,16,89195860b83ffff,1.0,3.0,51.31246388537905,-2.88437375173179,31942.06004530063
89195876653ffff,1593.3333333333333,0.0,19,8919587652fffff,1.0,2.0,51.50105800213402,-2.684198793882109,20168.935951767555
89195839c7bffff,1259.037037037037,0.0,1,89195839eb7ffff,1.0,11.0,51.42810220293662,-2.53094351503603,15937.303782993637
891958392b7ffff,1927.0416666666667,0.0,1,8919583907bffff,1.0,4.0,51.46246046745853,-2.579335093858027,24393.125492502557
89195862b1bffff,3388.425925925926,0.0,13,89195862eb3ffff,1.0,4.0,51.39204155721085,-2.8626821681929435,42891.80678492176
8919587711bffff,800.4895833333334,0.0,24,8919587652fffff,1.0,2.0,51.477126633639024,-2.7202427328656804,10132.859708979351
89195877593ffff,714.1416666666667,0.0,22,8919587652fffff,1.0,2.0,51.502895815011094,-2.6967355589996314,9039.839457419583
8919583901bffff,2878.9675925925926,2.0,0,8919583901bffff,1.0,2.0,51.46866793339368,-2.5668021066013433,36442.91609762412
8919587664bffff,459.8840579710145,0.0,20,8919587652fffff,1.0,2.0,51.4979486021555,-2.6904683579238546,5821.363249240387
89195839357ffff,840.5370370370371,9.0,0,89195839357ffff,1.0,9.0,51.4488228990296,-2.5824949726925484,10639.793513653854
89195839233ffff,1284.1022727272727,0.0,3,89195839353ffff,2.0,18.0,51.459041279675944,-2.5902960411769764,16254.587757838191
891958395a7ffff,358.0833333333333,0.0,9,8919583942fffff,1.0,6.0,51.46405082429457,-2.5151903061591048,4532.736285813033
89195839eabffff,225.775,0.0,2,89195839eb7ffff,1.0,11.0,51.42716258951261,-2.5450162084704595,2857.934004922795
89195839327ffff,55.72222222222222,0.0,5,89195839357ffff,1.0,9.0,51.43644162798294,-2.5668824491501554,705.3501659561666
89195876523ffff,25.660714285714285,0.0,1,8919587652fffff,1.0,2.0,51.47357947490142,-2.6137457612477246,324.8217382250072
89195839eb3ffff,449.54924242424244,0.0,1,89195839eb7ffff,1.0,11.0,51.43026623252471,-2.538753549302475,5690.541764196761
89195876d1bffff,12.121212121212121,0.0,7,89195839357ffff,3.0,15.0,51.429600639037744,-2.5887934711409546,153.43427882668357
8919580cb2fffff,39.15151515151515,0.0,7,8919587652fffff,1.0,2.0,51.49032086964733,-2.6043223112336698,495.5927206101879
8919587609bffff,369.7613636363636,0.0,9,8919587652fffff,1.0,2.0,51.48748125071908,-2.6466095360599344,4680.560623820115
891958392d7ffff,231.65530303030303,0.0,4,8919587652fffff,1.0,2.0,51.47204910693127,-2.596529648771982,2932.36880943859
8919583916fffff,223.86742424242425,0.0,5,89195839eb7ffff,1.0,11.0,51.44017357888905,-2.551234003842628,2833.7872852924456
8919583b36fffff,9.378787878787879,0.0,5,8919583942fffff,1.0,6.0,51.47922345391874,-2.529219632843426,118.71977324214642
89195876643ffff,67.62916666666666,0.0,19,8919587652fffff,1.0,2.0,51.49826650199841,-2.6857671000033148,856.0721742498409
89195876d0fffff,84.44166666666666,0.0,8,89195876c73ffff,1.0,2.0,51.424332971994374,-2.5872407597520297,1068.8903138036644
89195876c8bffff,277.3361111111111,2.0,0,89195876c8bffff,1.0,2.0,51.45003865506228,-2.6043966372580996,3510.611461576751
891958769cbffff,676.2864583333334,0.0,10,89195876c73ffff,1.0,2.0,51.415009882243076,-2.606024955783669,8560.655813706728
89195839213ffff,124.27083333333333,0.0,5,8919583926fffff,4.0,17.0,51.46678318667097,-2.5949749986070363,1573.0609695645066
8919583b303ffff,37.44166666666667,0.0,9,8919583942fffff,1.0,6.0,51.48789933892683,-2.519803594655795,473.9488976531989
89195839a6fffff,25.806818181818183,0.0,14,89195839eb7ffff,1.0,11.0,51.40109889156747,-2.5732223968102286,326.671169264436
89195876633ffff,300.905303030303,0.0,14,8919587652fffff,1.0,2.0,51.491479585933945,-2.666969396851798,3808.958023660286
891958765abffff,18.988636363636363,0.0,3,8919587652fffff,1.0,2.0,51.47916044662221,-2.6106051419161083,240.36438742442647
8919587667bffff,11.787878787878787,0.0,18,8919587652fffff,1.0,2.0,51.49300106780419,-2.684202532986752,149.21483615894977
89195876993ffff,144.36742424242425,0.0,10,89195876c73ffff,1.0,2.0,51.41627336330948,-2.587257993896199,1827.4502090379349
891958760d3ffff,460.04583333333335,0.0,11,8919587652fffff,1.0,2.0,51.48963916933699,-2.6544389328318476,5823.411054839456
89195839433ffff,6.075757575757576,0.0,2,8919583942fffff,1.0,6.0,51.48076365202956,-2.546427120504799,76.90893226187515
8919583905bffff,633.025,0.0,3,8919583901bffff,2.0,6.0,51.47051640101844,-2.5793167422051835,8013.038084226562
891958766abffff,20.892857142857142,0.0,14,8919587652fffff,1.0,2.0,51.494270849316685,-2.665400593737509,264.46863863831487
89195839a43ffff,162.17083333333332,0.0,12,89195839eb7ffff,2.0,13.0,51.41163577953255,-2.57632398388608,2052.811600885839
89195876c6fffff,33.821969696969695,0.0,2,89195876c73ffff,1.0,2.0,51.43576521571452,-2.61693829804125,428.12958613858046
89195876957ffff,17.586805555555557,0.0,12,89195876c73ffff,1.0,2.0,51.40974147313542,-2.6044708597884885,222.61955325074678
891958390abffff,8.655303030303031,0.0,3,8919583901bffff,1.0,2.0,51.464028827578424,-2.555861560456508,109.56166472467875
89195839207ffff,22.401515151515152,0.0,3,89195876c93ffff,1.0,8.0,51.46151705364759,-2.5934206505081305,283.5657265565646
8919586e463ffff,1358.2027777777778,0.0,6,8919586e613ffff,1.0,3.0,51.33980556397978,-2.954905271526311,17192.576255970365
8919586291bffff,223.7125,0.0,13,89195862eb3ffff,1.0,4.0,51.39432791700724,-2.8297992304748156,2831.826203416192
89195875693ffff,29.62121212121212,0.0,22,89195862eb3ffff,1.0,4.0,51.4766073694991,-2.8064478769316934,374.955018882708
89195839a9bffff,175.61309523809524,0.0,7,89195839eb7ffff,1.0,11.0,51.41816259542984,-2.559111133963499,2222.9681611812543
89195875587ffff,264.5625,0.0,28,89195862eb3ffff,1.0,4.0,51.456288349239315,-2.75000246724623,3348.918902346969
89195866643ffff,70.84469696969697,0.0,29,89195862eb3ffff,1.0,4.0,51.361327992293305,-2.7624518656582624,896.7754115298321
89195862cdbffff,95.91666666666667,0.0,5,89195862eb3ffff,1.0,4.0,51.43895872962967,-2.845563303674099,1214.1446276404006
89195867187ffff,12.272727272727273,0.0,29,89195860b83ffff,1.0,3.0,51.341090786427344,-2.782763522298019,155.35220731201713
89195862eb3ffff,94.20833333333333,4.0,0,89195862eb3ffff,1.0,4.0,51.42744232309031,-2.8565061657201714,1192.5199839682646
