,hex7,highway,building,industrial
0,871958635ffffff,False,False,False
1,8719580ddffffff,True,False,True
2,8719580daffffff,False,False,False
3,871958655ffffff,True,True,True
4,87195829effffff,True,True,False
5,871958605ffffff,False,False,False
6,871958672ffffff,False,False,False
7,871958660ffffff,False,False,False
8,871958644ffffff,False,False,False
9,87195866dffffff,False,False,False
10,871958382ffffff,True,True,True
11,871958643ffffff,True,True,False
12,871958759ffffff,False,False,False
13,871958765ffffff,True,True,True
14,871958745ffffff,True,True,True
15,8719586e8ffffff,True,True,True
16,8719582a9ffffff,True,False,False
17,87195870dffffff,False,False,False
18,871958650ffffff,False,False,False
19,871958743ffffff,True,True,False
20,871958774ffffff,False,False,False
21,871958293ffffff,True,True,False
22,871958394ffffff,True,True,True
23,8719580c3ffffff,True,True,True
24,871958773ffffff,True,True,False
25,871958628ffffff,True,True,False
26,871958296ffffff,False,True,False
27,8719583b5ffffff,True,True,True
28,8719582b2ffffff,True,True,False
29,871958666ffffff,True,False,False
30,8719586e0ffffff,True,True,True
31,87195876dffffff,True,True,True
32,87195874cffffff,True,False,False
33,871958604ffffff,False,False,False
34,871958758ffffff,True,False,False
35,87195862effffff,True,True,True
36,871958625ffffff,False,False,False
37,8719580caffffff,True,True,False
38,8719580c9ffffff,True,True,True
39,871958768ffffff,True,True,False
40,8719583b4ffffff,True,True,False
41,87195862affffff,False,True,True
42,8719580eaffffff,True,True,False
43,871958392ffffff,True,True,True
44,87195861dffffff,False,True,False
45,871958708ffffff,False,False,False
46,871958391ffffff,True,True,False
47,871958281ffffff,True,True,True
48,871958756ffffff,True,True,False
49,871958702ffffff,False,False,False
50,871958775ffffff,False,False,True
51,871958606ffffff,False,False,False
52,871958390ffffff,True,True,True
53,871958620ffffff,False,False,False
54,871958631ffffff,False,False,False
55,871958750ffffff,True,True,False
56,871958284ffffff,True,True,True
57,871958744ffffff,False,True,False
58,871958630ffffff,False,False,False
59,871958746ffffff,True,False,False
60,8719580dcffffff,True,False,False
61,871958633ffffff,False,False,False
62,8719583b1ffffff,True,True,False
63,87195870cffffff,False,False,False
64,8719583a3ffffff,False,True,False
65,8719583b6ffffff,True,True,True
66,87195862dffffff,False,False,False
67,871958729ffffff,False,False,False
68,871958282ffffff,True,True,False
69,8719586e5ffffff,True,True,False
70,871958749ffffff,False,True,False
71,87195874bffffff,False,False,False
72,8719583b0ffffff,True,True,False
73,871958216ffffff,False,False,False
74,87195865cffffff,False,False,False
75,8719582adffffff,True,True,False
76,87195828effffff,True,False,False
77,8719583b2ffffff,True,True,True
78,871958661ffffff,True,True,False
79,871958608ffffff,True,True,False
80,871958711ffffff,False,False,False
81,871958652ffffff,False,False,False
82,871958286ffffff,True,True,False
83,87195872dffffff,False,False,False
84,871958719ffffff,False,False,False
85,871958629ffffff,True,True,True
86,8719582aeffffff,True,True,False
87,871958703ffffff,False,False,False
88,871958752ffffff,True,True,False
89,87195865effffff,True,False,False
90,87195874effffff,False,False,False
91,871958709ffffff,True,True,False
92,87195876cffffff,True,True,True
93,871958753ffffff,False,False,False
94,871958763ffffff,True,True,False
95,871958748ffffff,True,True,False
96,87195874affffff,True,False,True
97,871958388ffffff,True,True,True
98,871958609ffffff,False,True,False
99,8719580cbffffff,True,True,False
100,871958384ffffff,False,False,False
101,8719583a2ffffff,True,True,False
102,871958674ffffff,True,True,True
103,8719583a0ffffff,True,False,False
104,87195860cffffff,False,True,False
105,871958669ffffff,True,False,False
106,871958762ffffff,True,True,True
107,871958645ffffff,False,False,False
108,8719582b0ffffff,True,True,False
109,87195875affffff,True,True,False
110,871958285ffffff,True,True,False
111,871958754ffffff,True,True,False
112,87195860bffffff,True,True,True
113,87195839affffff,True,True,True
114,871958622ffffff,False,False,False
115,871958662ffffff,True,False,False
116,8719586e4ffffff,True,True,True
117,871958701ffffff,False,False,False
118,8719580cdffffff,True,True,True
119,8719586edffffff,True,False,False
120,8719580d8ffffff,False,False,True
121,871958671ffffff,True,True,False
122,87195872bffffff,False,False,False
123,87195870effffff,False,False,False
124,8719582aaffffff,True,True,False
125,8719580ebffffff,True,True,True
126,871958393ffffff,True,True,True
127,871958385ffffff,True,True,False
128,871958380ffffff,True,True,True
129,871958601ffffff,False,False,False
130,871958663ffffff,True,False,False
131,871958280ffffff,True,True,False
132,871958764ffffff,True,True,False
133,871958383ffffff,True,True,True
134,871958670ffffff,False,False,False
135,871958676ffffff,True,True,False
136,8719582abffffff,True,True,True
137,871958602ffffff,False,False,False
138,8719582b3ffffff,False,True,False
139,871958755ffffff,True,True,False
140,8719582a2ffffff,True,True,True
141,8719582a5ffffff,True,True,False
142,871958769ffffff,True,True,True
143,8719582acffffff,True,True,False
144,87195871effffff,False,False,False
145,871958621ffffff,True,True,True
146,871958291ffffff,True,False,False
147,871958398ffffff,True,True,False
148,8719587adffffff,False,False,False
149,871958664ffffff,True,False,False
150,87195875effffff,False,True,False
151,8719583a6ffffff,True,True,False
152,8719582b6ffffff,False,True,False
153,871958624ffffff,False,False,False
154,871958386ffffff,True,True,True
155,87195861cffffff,False,False,False
156,8719582a1ffffff,True,False,False
157,87195829dffffff,True,False,False
158,8719586ecffffff,False,False,False
159,87195875dffffff,False,False,False
160,87195860affffff,True,True,False
161,87195862bffffff,True,True,False
162,87195875bffffff,False,False,False
163,871958295ffffff,True,True,True
164,871958771ffffff,True,True,False
165,871958298ffffff,False,True,False
166,87195838effffff,False,False,False
167,87195866affffff,False,True,False
168,8719583aaffffff,False,True,False
169,87195874dffffff,False,True,False
170,87195828cffffff,False,False,False
171,87195839cffffff,True,True,False
172,871958700ffffff,False,False,False
173,871958641ffffff,True,False,False
174,871958653ffffff,False,False,True
175,871958642ffffff,False,False,False
176,87195805bffffff,True,True,True
177,87195839effffff,True,True,True
178,8719586e1ffffff,True,False,False
179,871958381ffffff,False,True,False
180,87195860dffffff,True,True,False
181,87195829cffffff,True,True,False
182,87195871cffffff,True,True,False
183,871958766ffffff,True,True,False
184,8719586e6ffffff,True,True,True
185,8719587a9ffffff,False,False,False
186,8719586c5ffffff,True,False,False
187,871958283ffffff,False,False,False
188,871958290ffffff,True,True,False
189,8719580e9ffffff,True,True,False
190,871958212ffffff,True,True,False
191,8719586eeffffff,True,False,False
192,87195862cffffff,True,True,True
193,8719580c8ffffff,True,True,True
194,87195839bffffff,True,True,False
195,871958294ffffff,True,True,False
196,871958399ffffff,True,True,False
197,87195838affffff,True,True,False
198,87195872affffff,False,False,False
199,87195866cffffff,False,False,False
200,8719582a4ffffff,True,False,False
201,871958058ffffff,True,True,True
202,871958059ffffff,True,True,False
203,8719582a3ffffff,True,True,False
204,87195871dffffff,False,False,False
205,871958776ffffff,False,False,False
206,871958389ffffff,True,True,True
207,871958292ffffff,False,True,False
208,871958713ffffff,False,False,True
209,8719580ceffffff,True,True,False
210,871958673ffffff,True,True,True
211,871958742ffffff,True,True,False
212,871958761ffffff,True,True,True
213,871958772ffffff,True,True,True
214,871958623ffffff,False,False,False
215,871958603ffffff,False,False,False
216,87195870bffffff,False,False,False
217,8719582b1ffffff,True,True,False
218,871958640ffffff,False,False,False
219,8719582b5ffffff,True,True,True
220,871958600ffffff,False,False,False
221,871958741ffffff,True,True,False
222,871958760ffffff,True,True,False
223,8719582b4ffffff,False,True,False
224,871958654ffffff,True,True,False
225,871958718ffffff,False,False,False
226,871958634ffffff,False,False,False
227,87195876bffffff,True,True,False
228,87195871affffff,False,False,False
229,871958728ffffff,False,False,False
230,87195860effffff,False,False,False
231,87195839dffffff,True,True,True
232,8719582a6ffffff,True,True,False
233,871958656ffffff,True,True,True
234,8719582a0ffffff,True,False,False
235,871958770ffffff,False,False,True
236,87195866effffff,False,False,False
237,871958675ffffff,True,False,False
238,871958396ffffff,True,True,True
239,8719580dbffffff,True,False,True
240,8719582a8ffffff,True,True,False
